"","x"
"1",6
"2",2
"3",4
"4",8
"5",1
"6",3
"7",7
"8",0
"9",9
"10",5
"11",3
"12",7
"13",1
"14",4
"15",0
"16",6
"17",9
"18",2
"19",8
"20",5
"21",2
"22",9
"23",1
"24",7
"25",3
"26",0
"27",4
"28",8
"29",5
"30",6
"31",0
"32",5
"33",8
"34",4
"35",2
"36",1
"37",7
"38",9
"39",6
"40",3
"41",1
"42",3
"43",7
"44",5
"45",4
"46",8
"47",6
"48",2
"49",9
"50",0
"51",4
"52",6
"53",0
"54",3
"55",5
"56",9
"57",2
"58",7
"59",1
"60",8
"61",9
"62",0
"63",5
"64",2
"65",6
"66",7
"67",8
"68",3
"69",4
"70",1
"71",7
"72",8
"73",3
"74",6
"75",9
"76",4
"77",1
"78",5
"79",0
"80",2
"81",8
"82",1
"83",2
"84",9
"85",7
"86",5
"87",3
"88",6
"89",4
"90",0
"91",5
"92",4
"93",6
"94",0
"95",8
"96",2
"97",9
"98",1
"99",3
"100",7
"101",3
"102",7
"103",1
"104",4
"105",0
"106",6
"107",9
"108",2
"109",8
"110",5
"111",2
"112",9
"113",1
"114",7
"115",3
"116",0
"117",4
"118",8
"119",5
"120",6
"121",0
"122",5
"123",8
"124",4
"125",2
"126",1
"127",7
"128",9
"129",6
"130",3
"131",1
"132",3
"133",7
"134",5
"135",4
"136",8
"137",6
"138",2
"139",9
"140",0
"141",4
"142",6
"143",0
"144",3
"145",5
"146",9
"147",2
"148",7
"149",1
"150",8
"151",9
"152",0
"153",5
"154",2
"155",6
"156",7
"157",8
"158",3
"159",4
"160",1
"161",7
"162",8
"163",3
"164",6
"165",9
"166",4
"167",1
"168",5
"169",0
"170",2
"171",8
"172",1
"173",2
"174",9
"175",7
"176",5
"177",3
"178",6
"179",4
"180",0
"181",5
"182",4
"183",6
"184",0
"185",8
"186",2
"187",9
"188",1
"189",3
"190",7
"191",3
"192",7
"193",1
"194",4
"195",0
"196",6
"197",9
"198",2
"199",8
"200",5
"201",2
"202",9
"203",1
"204",7
"205",3
"206",0
"207",4
"208",8
"209",5
"210",6
"211",0
"212",5
"213",8
"214",4
"215",2
"216",1
"217",7
"218",9
"219",6
"220",3
"221",1
"222",3
"223",7
"224",5
"225",4
"226",8
"227",6
"228",2
"229",9
"230",0
"231",4
"232",6
"233",0
"234",3
"235",5
"236",9
"237",2
"238",7
"239",1
"240",8
"241",9
"242",0
"243",5
"244",2
"245",6
"246",7
"247",8
"248",3
"249",4
"250",1
"251",7
"252",8
"253",3
"254",6
"255",9
"256",4
