"","x"
"1",8
"2",5
"3",9
"4",7
"5",1
"6",9
"7",4
"8",9
"9",4
"10",9
"11",1
"12",9
"13",7
"14",4
"15",9
"16",2
"17",7
"18",7
"19",1
"20",2
"21",9
"22",9
"23",1
"24",7
"25",2
"26",9
"27",9
"28",5
"29",1
"30",9
"31",1
"32",8
"33",0
"34",4
"35",7
"36",3
"37",9
"38",8
"39",1
"40",8
"41",1
"42",7
"43",5
"44",3
"45",1
"46",0
"47",4
"48",7
"49",7
"50",6
"51",1
"52",0
"53",6
"54",7
"55",9
"56",6
"57",5
"58",9
"59",0
"60",8
"61",9
"62",6
"63",3
"64",6
"65",6
"66",0
"67",7
"68",4
"69",9
"70",6
"71",3
"72",7
"73",5
"74",1
"75",6
"76",0
"77",0
"78",2
"79",3
"80",3
"81",5
"82",7
"83",2
"84",5
"85",4
"86",2
"87",2
"88",4
"89",6
"90",4
"91",5
"92",8
"93",8
"94",8
"95",4
"96",9
"97",0
"98",0
"99",7
"100",5
"101",7
"102",3
"103",3
"104",9
"105",8
"106",9
"107",4
"108",3
"109",5
"110",6
"111",0
"112",8
"113",4
"114",6
"115",2
"116",7
"117",3
"118",5
"119",0
"120",8
"121",3
"122",0
"123",9
"124",8
"125",1
"126",8
"127",1
"128",8
"129",8
"130",2
"131",9
"132",5
"133",5
"134",5
"135",2
"136",6
"137",3
"138",9
"139",6
"140",6
"141",9
"142",8
"143",5
"144",6
"145",4
"146",7
"147",2
"148",2
"149",8
"150",9
"151",7
"152",9
"153",9
"154",2
"155",2
"156",8
"157",0
"158",2
"159",4
"160",0
"161",5
"162",6
"163",3
"164",6
"165",9
"166",2
"167",7
"168",1
"169",6
"170",6
"171",4
"172",3
"173",7
"174",2
"175",2
"176",5
"177",6
"178",4
"179",3
"180",2
"181",6
"182",3
"183",4
"184",7
"185",9
"186",4
"187",1
"188",4
"189",8
"190",2
"191",7
"192",0
"193",6
"194",5
"195",7
"196",4
"197",1
"198",3
"199",6
"200",6
"201",6
"202",5
"203",7
"204",7
"205",2
"206",9
"207",0
"208",8
"209",7
"210",6
"211",5
"212",9
"213",6
"214",3
"215",8
"216",0
"217",9
"218",2
"219",1
"220",8
"221",8
"222",2
"223",3
"224",4
"225",5
"226",5
"227",2
"228",6
"229",6
"230",8
"231",0
"232",7
"233",5
"234",5
"235",1
"236",7
"237",7
"238",2
"239",9
"240",7
"241",3
"242",7
"243",2
"244",2
"245",8
"246",0
"247",0
"248",4
"249",7
"250",5
"251",7
"252",0
"253",0
"254",2
"255",6
"256",4
